commondata_001	commondata_002	commondata_003	commondata_004	commondata_009	uniquefloat_001
159753zzxxaaxc	7269016	10892644	金色光頭重砲	202112	23.0
159753zzxxaaxc	7269016	3545444	嫩嫩鏢賊小皓	202112	3.0
15qazcdewsxk15	5916056	14586392	Kii右o	202112	1.0
1732z0508	6840649	25224152	吃飯完不洗碗	202112	3.0
17570927	6555413	23849598	畜牲不是我	202112	4.0
19000000000	5846005	12135157	龍術士小菲	202112	3.0
19000000000	5846005	16145220	黑夜武士o嵐	202112	1.0
19000000000	5846005	16267028	皇家騎士小菲	202112	2.0
19191191	5010583	25332764	x常磐x	202112	1.0
19191191	5010583	25357647	x芎琪x	202112	1.0
19191191	5010583	7990868	黑a想念	202112	2.0
19561220	6334867	13562740	八重明	202112	1.0
196203315	3027360	26449414	假鬼假怪劍士	202112	1.0
19720220	2491080	17011599	卡蒂娜小痕	202112	8.0
19738564	3303188	25710222	Ganraiko	202112	1.0
19851227rony	1491596	24300431	資深鄉民	202112	24.0
1992718133	1252059	7168588	幻霜影oo	202112	1.0
19932314	2548409	18388347	o小小遙o	202112	3.0
19971119	2611620	15589400	洞穴裡有姊姊	202112	1.0
1j452l4so	6682103	17210976	神奇女刀客	202112	1.0
1j452l4so	6682103	8747295	無限期抵制仁	202112	1.0
1qa2ws40208	5897221	12151152	夜光第三十	202112	5.0
20010907	2816482	15527229	寄雪依冬	202112	1.0
200535631	7370097	15032900	米蘿綠娜	202112	12.0
2006jordan	2831908	24740477	令妹很可以s	202112	1.0
2007orange2007	4531499	16871543	阿戴爾knight	202112	1.0
208795831	7688677	4710296	z喝了在上	202112	2.0
208795831	7688677	8216622	先喝在上	202112	1.0
2108699901	18093684	11735063	芒果杏仁馬芬	202112	6.0
2181921819	8262952	16433429	張嘉航海獅	202112	1.0
222562650	2788396	25299560	石上清泉2106	202112	1.0
224481808	6242801	13794534	Weixiao夢	202112	3.0
22559966	4621729	11844516	c璐緹絲	202112	1.0
22632412	6074607	13732835	艾a芝	202112	6.0
22815182	5165204	16119863	狐梁晞	202112	1.0
2286AAAA	2350639	10839841	YinShian	202112	1.0
22871380	1434590	11787315	卡拉ccc	202112	1.0
22871380	1434590	16458271	戰地696123	202112	1.0
22980528	1968537	2842359	喁喁談心	202112	2.0
23295052	6063131	8375030	019190	202112	1.0
23586283	1141203	1643271	可米小子125	202112	1.0
24318466	8229034	24228133	鮮橙o小魚	202112	2.0
24318466	8229034	24612616	鮮橙小狼魚	202112	2.0
24323562	2317078	18402220	梔o天玄	202112	7.0
24325696aa	2793306	17905917	o國家機器o	202112	3.0
24325696aa	2793306	9505572	吃飽太閒a	202112	1.0
24371185aa	6307365	15391190	融琰	202112	1.0
24371185cc	6307404	13794134	雷小藝	202112	1.0
24688987	5450168	15204708	煙花姬	202112	1.0
24723698	8112431	5858944	羽仔暗夜	202112	2.0
24921301	4503232	15953102	原來是減糖	202112	2.0
25283538	8449924	25146629	超級凱西	202112	3.0
2532KISS1697	4852052	18502911	BullyLeo爾	202112	1.0
25338608	1208150	10670078	雪區逛街	202112	1.0
25556166	2549532	1548411	疏星淡月璃o	202112	1.0
25667146	2053990	16950681	你沒置中對齊	202112	1.0
26644761	7589413	5779710	幸運or星空	202112	2.0
266526652665	6034863	5744532	錢型老爹	202112	1.0
26687749ig	6938794	15642815	幻獸o音音	202112	1.0
26687749ig	6938794	9156990	秀o元	202112	6.0
2670069506	7000619	11032504	胡蝶忍o	202112	1.0
26855554655	7837186	13002122	賴茵茵	202112	2.0
26866152	3575240	15713969	東方偷書賊	202112	1.0
26866152z	3777169	11007784	超級大蛇炮	202112	1.0
27266956	2988118	7180901	乂香草嫩燕乂	202112	2.0
27327285	1582924	15829734	Defector芽	202112	7.0
27562140	6861032	26044496	尼羅河風光	202112	1.0
27717460	6903157	25544593	Naomi凜	202112	1.0
28127560	5956489	10312335	小琳琳魔法師	202112	1.0
28127560	5956489	15245995	最佳陰陽琳	202112	3.0
28129282	3640712	12210142	zz殺手冰雷zz	202112	1.0
28184205	6894570	26017891	KuanIng	202112	5.0
28221857	7577303	24827823	唬爛王嶗奕淂	202112	7.0
28479700	457098	9820597	HaoChan	202112	12.0
28950979	1027063	8059710	練等練到爽	202112	3.0
293amdaa	6545753	6857592	x月夜黑瞳x	202112	1.0
29430391	8139808	23750163	闇黑練習生	202112	4.0
29595804	4744040	25214247	i星之仴羽乂	202112	1.0
2j45k6gjp44988	65654	16135370	轉服我最大	202112	1.0
2rixjoxu	4497414	14780215	米奇o沁	202112	2.0
2y4bs68ps	3080483	16943578	WINTER夜權	202112	1.0
3031371715566	1669419	26160311	蒔睿	202112	1.0
303190530	5900449	15407549	星源清	202112	3.0
31415925926	6101963	9660245	璃羽o音	202112	1.0
346872666444	224923	13622916	QQQ幻影俠盜	202112	2.0
34772461	2658534	14940153	more斗哈雅	202112	1.0
385794631	6604465	13068408	冷酷殺手cp	202112	2.0
38746855	2732954	3254443	名者	202112	6.0
3A131AM249	2098579	16328400	伊歐弗萊明	202112	2.0
3A131AM249	2098579	6883630	達里爾洛倫茲	202112	1.0
40845892	6084291	10385485	小毛毯c	202112	7.0
43223870	3326980	6330892	Enuieus	202112	2.0
44934493	1870909	2659535	狂俠獵人	202112	4.0
44happy55	6234078	1899394	xx追日xx	202112	3.0
45536721	4098394	15640254	女皇仙子	202112	2.0
456michael	1177820	8536838	Sleepagain	202112	2.0
4786543686113	6039865	10599856	洛神花未眠c	202112	1.0
4786543686113	6039865	8869157	Im夜暝c	202112	1.0
48444844	1265920	9230466	怪力士2	202112	4.0
4a123456	3111813	26251558	嵐朵花不開	202112	1.0
50244732	5491503	11621019	o咘o汀o	202112	2.0
51211100	4694771	15289239	o楓嵐蘭o	202112	2.0
520520joan	7744753	11157995	夜光芋頭冰	202112	3.0
5205575626	7292815	13814632	櫻漾星玥	202112	1.0
5237865456	1818561	16194462	紫漾o霓裳	202112	8.0
525589321	1042509	8820626	Queena晴玥	202112	1.0
52688888	5629823	14440098	幕光華華	202112	1.0
5304053040	8489750	9283519	阿芙芙yo	202112	1.0
54031214	6376491	11240111	FrostFighter	202112	7.0
5406kenny	1835383	15654209	熾羽奏	202112	1.0
5422492123	376541	10723337	FieRce銫c	202112	1.0
54383845	5211677	22486631	宇正o	202112	1.0
5438811027	5987207	17080644	廁試員	202112	5.0
55663713687	524667	11860020	啾啾伊唷	202112	5.0
5566WW77	4716529	16326696	別鬧了嗎	202112	1.0
567567567567	3579012	7961231	MaskShooter	202112	1.0
567567567567	3579012	9577334	先覺之曉	202112	2.0
57955975	6164091	12520255	神谷悠蘭	202112	1.0
58120708	1918301	1526592	lo純真女孩ve	202112	4.0
58249138	5825926	15944905	zzMmMmMzz	202112	3.0
582491382	6086330	15996080	月梓xi	202112	1.0
582491384	6105499	16027693	CmMmMmC	202112	3.0
58249138b	6414887	10836993	a劉時鎮a	202112	1.0
58249138c	6700202	15649320	釘哥野薔薇	202112	3.0
58584582	2666347	10594799	放棄所有q	202112	1.0
58584582	2666347	24507020	浮雲s遊子	202112	1.0
587032022	3907581	1270554	見怪小小閃	202112	4.0
59432583	2912872	7463259	卍筱夏卍	202112	1.0
5A7378ZV	3539576	7887185	冬凜冰棘	202112	1.0
5tgb6yh5	3279105	5797825	忍影至尊z	202112	2.0
6141561410	6820738	8272362	我要打伍個	202112	5.0
617118405	7614204	11002399	丟鏢的小偷	202112	1.0
6223525123	1855940	1149002	歿問世間	202112	1.0
63598742	1297880	19283055	江青穎	202112	10.0
636636sos	8245123	15290698	多酚o布蕾s	202112	1.0
636636sos	8245123	24567742	s咘丁喵oo	202112	2.0
68161000	160521	8930557	魚豬胖	202112	3.0
6960456ab	3012874	9201596	o呢呢子	202112	7.0
6tfcvbn74123	6301500	11545407	牙膏出匣	202112	4.0
6tfcvbn74123	6301500	11552400	安倍納頌	202112	4.0
6tfcvbn74123	6301500	11829883	輝氏阿呆部門	202112	6.0
70416111	8494976	25359650	屁孩工程師	202112	1.0
70623hank	6510548	11790023	久保由利香	202112	1.0
71715901	4526302	16882595	弗隱好吃	202112	2.0
725374arlee	2428130	7001212	Magic詹	202112	1.0
725374arlee	2428130	8178313	詹仔O口O	202112	1.0
73fin5ee	4931147	12429805	卍神破虛卍	202112	6.0
74107410frank	7959641	16150900	可樂龍玥	202112	3.0
743a88394n	1017593	7290791	o野崎梅太郎o	202112	3.0
753951456QAZWSX	3905494	11727255	帶帶機2號	202112	3.0
753951456QAZWSX	3905494	23793080	w285	202112	1.0
75634200	2971394	8622655	o0傾君憐0o	202112	10.0
75634700	6019178	10347181	恨長風o	202112	7.0
769a88394n	6157750	8221233	o熊掌拍拍o	202112	1.0
77391463	1972035	16519226	傻Q喵咪	202112	1.0
773914633	5188942	16522407	雪芯楓u	202112	1.0
77515398	982996	6315305	薇薇兒x	202112	2.0
7764asux14580	2535357	11731162	無辜的小羊	202112	1.0
77802249	5920827	15744894	影o小愷	202112	1.0
78324563	3424646	11317724	電火部	202112	3.0
783836805	5861272	4859424	蒼流冰楓	202112	1.0
789gold987	5439776	17414990	迷悅耶咩	202112	9.0
794a048s7	4423345	3275436	乂阿o屁乂	202112	1.0
79880122	5766116	25318051	Ger4871	202112	4.0
80228112872	3151623	6504451	專用倉庫一一	202112	3.0
80228112873	6947923	6504167	專用倉庫十七	202112	8.0
80228112874	7227104	6504604	專用倉庫七七	202112	6.0
80228112875	7402882	4673324	專用倉庫十十	202112	1.0
812018812018	8086993	16864392	Eternal612	202112	6.0
82213715	4596294	26302676	莉莉穌娜凡	202112	1.0
82719658271963	1237062	18440113	水漾信玄餅	202112	1.0
82869366	4227776	4552029	雪橇劍士	202112	1.0
82869377	4825056	5808487	幻影劍道	202112	2.0
84861128ab	7680647	16341115	馬賽克獵人	202112	12.0
86052200	827608	17168560	洽麻洽麻洽麻	202112	1.0
86082600	6512292	17089295	Black幽浮	202112	2.0
87107elsa	5842855	7308702	Fartesiy斐夢	202112	2.0
874321099	5282660	18408137	永生者一林雲	202112	2.0
87873611	5639439	16980602	卍不滅劍豪卍	202112	4.0
878745123	5869695	6646848	伊萊諾克爾	202112	1.0
87994477	5115790	10544938	Alice雨芯o	202112	1.0
881910ao	2680023	8420254	沙羅羅喔	202112	2.0
88347267	7108577	10552341	鷕殺標賊	202112	10.0
88347267	7108577	15804254	末日Adele	202112	1.0
88663097	4423887	10607231	oo憶彤oo	202112	2.0
88663591	2641844	4470897	你好誇張喇	202112	1.0
89082889	2340883	26171359	阿密斯達姆	202112	3.0
89082889	2340883	26441906	喵喵波羅蜜	202112	4.0
8942633777	6810718	11908783	米糖貓	202112	3.0
8942633777	6810718	14423672	雨夜的葉子	202112	2.0
8942633777	6810718	24752737	黃昏下的惡魔	202112	2.0
89652860	2542959	16617844	Yukina筱薇	202112	5.0
8a77ck6612	7616666	25303238	請支援疫苗	202112	2.0
8bq28750	5540193	24810769	陰陽酥oo	202112	1.0
8k725500	3911211	2680358	小六是我	202112	2.0
8k7e0l7l1y1	5994706	8909707	柊芥子	202112	1.0
9012231223	1932542	7300945	鄉粑佬	202112	2.0
90261amy	4198985	14382833	o傑諾o東東	202112	1.0
90380816a	3491090	14591582	龍脈者黑騎士	202112	1.0
90FTO103No1837No3	126487	7498078	魁影武	202112	2.0
93888143	2121597	17063296	biu小射手	202112	1.0
94435888	1484972	13919244	水映蘭影	202112	13.0
95175388611	5692699	6971191	乂藍翼使者乂	202112	10.0
9569566527	2368683	26157142	星月南緋	202112	1.0
957816479	3762800	3327291	我的大追求	202112	1.0
95806william87188	5713537	8890411	羋絻	202112	5.0
97648512	2055099	8963461	天使o文文	202112	1.0
980830po	7263485	18342608	東風萬里	202112	1.0
9874JOLIN	1614639	18283531	Freezerer	202112	10.0
987546131	2207625	16449456	Asrena	202112	6.0
99584629	6186100	18531779	宇智仆街	202112	5.0
99981021	4093496	11919885	咻咻飛天啾	202112	2.0
9monkeyking6	7158446	4179606	陰陽o綠	202112	2.0
A092322211800	7815084	5758203	22126633	202112	1.0
A092322211800	7815084	8064275	我是芒果龍魔	202112	1.0
A0952303619	7388551	18046557	Breeze鵝72	202112	1.0
A0968318207	3515370	2505489	x七逃人	202112	1.0
A113763535	8057052	26220034	黑色小怪貓NN	202112	1.0
A123040727	1856900	15743191	七曜魔法o姆Q	202112	3.0
A131457594	6402025	13915759	萩楓怷葉	202112	1.0
A1974630103	4401418	2942292	鳳梨星	202112	1.0
A22858837	122319	92045	小同	202112	4.0
A27824556	1205447	17021568	血影小狐	202112	9.0
A5438290	4095388	1320188	蜈蚣王之劍士	202112	1.0
A6112344	3783753	17665374	噯x蹦鼻	202112	1.0
A74859623	2599830	8367051	Unique豪	202112	1.0
A7526999	1796111	18096464	冰楓蒼蒼	202112	1.0
A7530453	3658462	18265834	花澤香香	202112	1.0
A841272003	2995003	16660973	很多支螢光筆	202112	1.0
A87913312	3964070	12203494	鮭魚堡好吃	202112	6.0
A9306022	2422868	23673190	Tu陰陽o	202112	1.0
AA20137AA	6086809	4425341	yellowtako	202112	4.0
AA20137AA	6086809	5523995	yellowtacoo	202112	1.0
AA5882615ZZ	5725871	11692884	巴布z	202112	2.0
AA821116AA	4092155	10310611	湖馨見影	202112	1.0
AB26893806	7988797	7776899	猀儿	202112	9.0
ABC244132801191601	6624595	7591092	OoOo維維oOoO	202112	2.0
ABCD68076807	4924327	11935569	SungFong7	202112	1.0
ACB123EZ	3248398	2510171	o艾拉維亞o	202112	3.0
ADSL61587	4576352	11588913	肌肉蘇蘇	202112	1.0
ADSL861122	8463178	9949170	隱連月	202112	1.0
AE86GGG455550	3061176	18666247	蕉香優格	202112	10.0
AI6XU41L31O4	3355449	18635864	未必有我善	202112	1.0
AMAZ1966	4102828	16152301	AMAZ1966	202112	1.0
ANBY46031RLD	4541014	11433587	o弒star魂o	202112	1.0
ANGEL00502	3304302	16389059	惡魔草莓冰沙	202112	2.0
ANGEL00502	3304302	17118008	撒旦藍莓冰	202112	3.0
ANGEL00502	3304302	17136104	撒旦藍莓冰沙	202112	2.0
ANGEL3458	680807	2351154	乂幸福來臨oO	202112	20.0
ANGELA0502	17499163	15664892	水猴座	202112	4.0
ANGELA0502	17499163	17136115	沝猴座	202112	2.0
ANGELA3458	9288678	15665040	水馬座	202112	2.0
ANGELA3458	9288678	17055448	水猿座	202112	1.0
ANN9128311	7715081	15660617	oooo阿賭oooo	202112	1.0
ANN9128311	7715081	18459257	oxo阿賭oxo	202112	1.0
ARTEMILY	4897414	16812821	夜有所愛o	202112	2.0
ASASYAHOOCOM	1680331	15594892	古老阿	202112	2.0
ASD08920	7433902	11498302	AmazingYo齊	202112	1.0
ASD18602	8173167	17918180	國泰醜醜貓	202112	2.0
ASDFG7987928	7618707	4236299	乂戀愛罐子乂	202112	1.0
ASDFGH774185	8010340	26306068	XiaoTjcheng	202112	1.0
AWDXS1231	7761514	11457782	Q0黑暗騎士	202112	1.0
Aaa83591	8474358	16305040	哪裡有乾爹cc	202112	2.0
Allen4114	1886221	5573324	古伊卡伊	202112	1.0
AmyQuinAndyKing951	6235958	18024156	Woo漾	202112	1.0
Andy5601739	8099684	17659806	碧色遺跡	202112	1.0
B19640807	3161070	25327504	傲世的凱殷	202112	1.0
BAOSHING2	6358997	19418500	乂神無筱月乂	202112	5.0
BEN70213	7165691	3377329	軍佬神	202112	2.0
BENNY0907	3525289	4905157	尤佳佳	202112	2.0
BLACK616302	7941250	10390913	邪戀ya	202112	1.0
BLACKandBACK	5113958	19586064	Muraka	202112	3.0
BLEND318	4531037	7615326	TinyHot麻糬	202112	2.0
