TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
DNStaging,dbo,CharacterLoginLogs_20191228,BASE TABLE
DNStaging,dbo,ST_DailySalesByCharacterProduct,BASE TABLE
DNStaging,dbo,MailLogs_20191031,BASE TABLE
DNStaging,dbo,CUCountLogs_20141225,BASE TABLE
DNStaging,dbo,CUCountLogs_20190819,BASE TABLE
DNStaging,dbo,RepetitionQuestCompleteLogs_20191021,BASE TABLE
DNStaging,dbo,PotenBonusLogs_20191204,BASE TABLE
DNStaging,dbo,CUCountLogs_20150328,BASE TABLE
DNStaging,dbo,CashRebirthCoinLogs_20180326,BASE TABLE
DNStaging,dbo,CUCountLogs_20180520,BASE TABLE
DNStaging,dbo,GuildLotationMissionLogs_20191222,BASE TABLE
DNStaging,dbo,CUCountLogs_20170827,BASE TABLE
DNStaging,dbo,DarkLairLogs_20200113,BASE TABLE
DNStaging,dbo,CashRebirthCoinLogs_20180629,BASE TABLE
DNStaging,dbo,FieldLogs_20191105,BASE TABLE
DNStaging,dbo,FieldDeleteLogs_20191130,BASE TABLE
DNStaging,dbo,FieldLogs_20191225,BASE TABLE
DNStaging,dbo,CUCountLogs_20140711,BASE TABLE
DNStaging,dbo,CharacterResetPositionLogs_20191128,BASE TABLE
DNStaging,dbo,CUCountLogs_20181207,BASE TABLE
DNStaging,dbo,CUCountLogs_20150323,BASE TABLE
DNStaging,dbo,FieldLogs_20191110,BASE TABLE
DNStaging,dbo,MissionAchieveLogs_20191219,BASE TABLE
DNStaging,dbo,ST_JobAndLevelType5,BASE TABLE
DNStaging,dbo,TradeSuccessLogs_20200110,BASE TABLE
DNStaging,dbo,CharacterLoginLogs_20200106,BASE TABLE
DNStaging,dbo,AccountLoginLogs_20191209,BASE TABLE
DNStaging,dbo,CharacterResetPositionLogs_20191212,BASE TABLE
DNStaging,dbo,AccountLoginLogs_20191119,BASE TABLE
DNStaging,dbo,QuestCompleteLogs_20191020,BASE TABLE
DNStaging,dbo,MissionAchieveLogs_20191004,BASE TABLE
DNStaging,dbo,ItemLogs_20190213,BASE TABLE
DNStaging,dbo,FieldLogs_20200103,BASE TABLE
DNStaging,dbo,FatigueLogs_20191115,BASE TABLE
DNStaging,dbo,CharacterLoginLogs_20191025,BASE TABLE
DNStaging,dbo,PetalOutgo,BASE TABLE
DNStaging,dbo,FieldAttachmentDeleteLogs_20191123,BASE TABLE
DNStaging,dbo,CUCountLogs_20150114,BASE TABLE
DNStaging,dbo,HiddenCashShopLogs_20191231,BASE TABLE
DNStaging,dbo,CharacterResetPositionLogs_20191205,BASE TABLE
DNStaging,dbo,CharacterLoginLogs_20191030,BASE TABLE
DNStaging,dbo,MissionAchieveLogs_20191014,BASE TABLE
DNStaging,dbo,CUCountLogs_20180804,BASE TABLE
DNStaging,dbo,CUCountLogs_20151205,BASE TABLE
DNStaging,dbo,CUCountLogs_20170130,BASE TABLE
DNStaging,dbo,PointLogs,BASE TABLE
DNStaging,dbo,PartyRebirthLogs_20191224,BASE TABLE
DNStaging,dbo,CUCountLogs_20150308,BASE TABLE
DNStaging,dbo,CashRebirthCoinLogs_20170529,BASE TABLE
DNStaging,dbo,BoardGamesLogs_20191201,BASE TABLE
DNStaging,dbo,V_PVPEndLogs,VIEW
DNStaging,dbo,CUCountLogs_20150109,BASE TABLE
DNStaging,dbo,PotenBonusLogs_20191227,BASE TABLE
