TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
DNMembership,dbo,Characters_DWC_20140902,AccountID,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Characters_DWC_20140902,CharacterName,3,,YES,nvarchar,30.0,60.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,Characters_DWC_20140902,WorldID,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,Characters_DWC_20140902,CreateDate,5,,NO,datetime2,,,,,,0.0,,,,,,,,,
DNMembership,dbo,Characters_DWC_20140902,DeleteFlag,6,,NO,bit,,,,,,,,,,,,,,,
DNMembership,dbo,Characters_DWC_20140902,DeleteByAdminFlag,7,,YES,bit,,,,,,,,,,,,,,,
DNMembership,dbo,GiftSendScheduleReceive,GiftSendScheduleID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,GiftSendScheduleReceive,CharacterID,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,GiftSendScheduleReceive,ReceiveDate,3,,NO,datetime,,,,,,3.0,,,,,,,,,
DNMembership,dbo,BlockedIPExceptions,StartIP,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,BlockedIPExceptions,EndIP,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,BlockedIPExceptions,Description,3,,NO,nvarchar,300.0,600.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,BlockedIPExceptions,AdminID,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,BlockedIPExceptions,RegisterDate,5,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
DNMembership,dbo,CharacterDeleteReviveLogs,LogDate,1,,NO,datetime2,,,,,,0.0,,,,,,,,,
DNMembership,dbo,CharacterDeleteReviveLogs,CharacterID,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,CharacterDeleteReviveLogs,DeleteFlag,3,,NO,bit,,,,,,,,,,,,,,,
DNMembership,dbo,CharacterDeleteReviveLogs,PrivateIP,4,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,CharacterDeleteReviveLogs,PublicIP,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,GiftSendSchedule,GiftSendScheduleID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,GiftSendSchedule,GiftExpireDate,2,,NO,datetime,,,,,,3.0,,,,,,,,,
DNMembership,dbo,GiftSendSchedule,GiftSendDate,3,,NO,datetime,,,,,,3.0,,,,,,,,,
DNMembership,dbo,GiftSendSchedule,GiftTypeCode,4,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,GiftSendSchedule,GiftSenderName,5,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,GiftSendSchedule,GiftLifespan,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,GiftSendSchedule,IP,7,,NO,varchar,15.0,15.0,,,,,,,iso_1,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,GiftSendSchedule,ProductID,8,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,GiftSendSchedule,SelectedItemIDs,9,,NO,varchar,-1.0,-1.0,,,,,,,iso_1,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,GiftSendSchedule,GiftMemo,10,,NO,nvarchar,100.0,200.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,GiftSendSchedule,PayMethodCode,11,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,GiftSendSchedule,NewFlag,12,,YES,bit,,,,,,,,,,,,,,,
DNMembership,dbo,GiftSendSchedule,DeleteFlag,13,((0)),NO,bit,,,,,,,,,,,,,,,
DNMembership,dbo,GiftSendSchedule,ItemOptions,14,,YES,varchar,-1.0,-1.0,,,,,,,iso_1,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,BlockedIPs,StartIP,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,BlockedIPs,EndIP,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,BlockedIPs,BlockedIPCode,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,BlockedIPs,Description,4,,NO,nvarchar,300.0,600.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,BlockedIPs,AdminID,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,BlockedIPs,RegisterDate,6,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
DNMembership,dbo,BlockedIPs,StartDate,7,,YES,smalldatetime,,,,,,0.0,,,,,,,,,
DNMembership,dbo,BlockedIPs,EndDate,8,,YES,smalldatetime,,,,,,0.0,,,,,,,,,
