TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200909_NX_Messenger00,dbo,tblRealFriendInfo,strWord,4,,NO,nvarchar,64.0,128.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_NX_Messenger00,dbo,tblRealFriendInfo,n4Flag,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealFriendInfo,dtBirthDay,6,,YES,datetime,,,,,,3.0,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealFriendInfo,codeBirthDayType,7,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealFriendInfo,dtCreated,8,,YES,datetime,,,,,,3.0,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealFriendInfo,dtModified,9,,YES,datetime,,,,,,3.0,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealUserInfo,oidCode,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealUserInfo,strWord,2,,NO,nvarchar,64.0,128.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_NX_Messenger00,dbo,tblRealUserInfo,n4Flag,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealUserInfo,n4HashValue,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealUserInfo,n4CateSerialNo,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealUserInfo,codeAllowChatType,6,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealUserInfo,codeAllowNoteType,7,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealUserInfo,codeAllowGameInviteType,8,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealUserInfo,codeAllowRequestFriendType,9,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealUserInfo,dtBirthDay,10,,YES,datetime,,,,,,3.0,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealUserInfo,codeBirthDayType,11,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealUserInfo,dtCreated,12,,YES,datetime,,,,,,3.0,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealUserInfo,dtModified,13,,YES,datetime,,,,,,3.0,,,,,,,,,
20200909_NX_Messenger00,dbo,tblVirtualUserInfo,oidOwnerCode,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblVirtualUserInfo,codeGame,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblVirtualUserInfo,oidVirtualCode,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblVirtualUserInfo,strNickName,4,,NO,nvarchar,32.0,64.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_NX_Messenger00,dbo,tblVirtualUserInfo,n4Level,5,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblVirtualUserInfo,strMeta,6,,YES,varchar,1000.0,1000.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_NX_Messenger00,dbo,tblVirtualUserInfo,dtCreated,7,,YES,datetime,,,,,,3.0,,,,,,,,,
20200909_NX_Messenger00,dbo,tblVirtualUserInfo,dtModified,8,,YES,datetime,,,,,,3.0,,,,,,,,,
20200909_NX_Messenger00,dbo,W_tblVirtualFriendInfo,oidOwnerCode,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,W_tblVirtualFriendInfo,codeOwnerGame,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,W_tblVirtualFriendInfo,oidOwnerVirtualCode,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,W_tblVirtualFriendInfo,oidFriendCode,4,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,W_tblVirtualFriendInfo,codeFriendGame,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,W_tblVirtualFriendInfo,oidFriendVirtualCode,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
