TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
GlobalAccount,dbo,temp_ItemSlot_OPT_SoulRing,Socket1,9,,NO,smallint,,,5,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_ItemSlot_OPT_SoulRing,Socket2,10,,NO,smallint,,,5,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_ItemSlot_OPT_SoulRing,Option6,11,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,QuantityLimitEvent,QuestID,1,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,QuantityLimitEvent,StartTime,2,,NO,datetime,,,,,,3,,,,,,,,,
GlobalAccount,dbo,QuantityLimitEvent,EndTime,3,,NO,datetime,,,,,,3,,,,,,,,,
GlobalAccount,dbo,NexonMembershipTemp,AccountID,1,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,NexonMembershipTemp,NewNxEmail,2,,NO,varchar,32,32,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
GlobalAccount,dbo,NexonMembershipTemp,OldNxClubID,3,,NO,varchar,32,32,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
GlobalAccount,dbo,NexonMembershipTemp,Status,4,,NO,tinyint,,,3,10,0,,,,,,,,,,
GlobalAccount,dbo,QuantityLimitEventStarted,WorldID,1,,NO,tinyint,,,3,10,0,,,,,,,,,,
GlobalAccount,dbo,QuantityLimitEventStarted,QuestID,2,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,tmp_e20160316_point,world,1,,YES,char,13,13,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
GlobalAccount,dbo,tmp_e20160316_point,kind,2,,YES,tinyint,,,3,10,0,,,,,,,,,,
GlobalAccount,dbo,tmp_e20160316_point,accountid,3,,YES,varchar,20,20,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
