TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
GameDB04,dbo,CharacterPlayTimeLog_20160621,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20171104,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170306,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180520,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160823,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160119,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20191103,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170511,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20151024,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170218,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180427,BASE TABLE
GameDB04,dbo,WishList_Wedding,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150808,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20181114,BASE TABLE
GameDB04,dbo,MiniGameRecord,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160512,BASE TABLE
GameDB04,dbo,UserSurveyInfo,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20161010,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170131,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180406,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190423,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20191003,BASE TABLE
GameDB04,dbo,BuyCharacter,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190629,BASE TABLE
GameDB04,dbo,CharacterMoney,BASE TABLE
GameDB04,dbo,WorldTransferState,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150713,BASE TABLE
GameDB04,dbo,Temp_Characterid_20181001,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20151201,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20161127,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20171129,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190331,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190916,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150903,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180222,BASE TABLE
GameDB04,dbo,Character,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20191126,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180908,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190318,BASE TABLE
GameDB04,dbo,MachineHuntingPlayTime_20190824,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150202,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180820,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190222,BASE TABLE
GameDB04,dbo,Housing_InstanceForAccount,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170716,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180109,BASE TABLE
GameDB04,dbo,Trunk,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180726,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20151013,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170914,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190126,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190521,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150330,BASE TABLE
GameDB04,dbo,SkillCooltime,BASE TABLE
GameDB04,dbo,HappyDay_OnlyOneReward,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160719,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170629,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20151212,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20171214,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190114,BASE TABLE
GameDB04,dbo,TrunkMoney,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20181003,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150517,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160415,BASE TABLE
GameDB04,dbo,DuoSurveyData,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20181219,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150219,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170109,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150703,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160621,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20171105,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190825,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170306,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180521,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160823,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160119,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20191103,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170512,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20151024,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170218,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180427,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150808,BASE TABLE
GameDB04,dbo,Trunk_CON,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160513,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170427,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20161011,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170201,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180407,BASE TABLE
GameDB04,dbo,PTSystemRecord,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190424,BASE TABLE
GameDB04,dbo,MachineHuntingPlayTime_20191003,BASE TABLE
GameDB04,dbo,MachineHuntingPlayTime_20190629,BASE TABLE
GameDB04,dbo,PvPInformation,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150714,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20151202,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20161128,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20171129,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190331,BASE TABLE
GameDB04,dbo,MachineHuntingPlayTime_20190916,BASE TABLE
GameDB04,dbo,CharacterCommerceVessel,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150904,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180223,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20191126,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180909,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150202,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180820,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20161020,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190222,BASE TABLE
GameDB04,dbo,Housing_Furniture,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150408,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160310,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170717,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180110,BASE TABLE
GameDB04,dbo,Trunk_EQP,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180727,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20151013,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170914,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190127,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190522,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150330,BASE TABLE
GameDB04,dbo,ShopScannerHotList,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160720,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170629,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20151212,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20171214,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20191004,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150604,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190114,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190630,BASE TABLE
GameDB04,dbo,EntrustedShop_EQP,BASE TABLE
GameDB04,dbo,WorldTransferLog_In,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20181003,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190917,BASE TABLE
GameDB04,dbo,CharacterCommerceRecord,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150518,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160416,BASE TABLE
GameDB04,dbo,FriendAccount,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160908,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20181220,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150219,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170109,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150704,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160622,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20171105,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190319,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190825,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170307,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180521,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160824,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160120,BASE TABLE
GameDB04,dbo,MachineHuntingPlayTime_20191103,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170512,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20151025,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20171012,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170219,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180428,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150809,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20161215,BASE TABLE
GameDB04,dbo,Trunk_ETC,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160513,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170427,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20161011,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170201,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180407,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190424,BASE TABLE
GameDB04,dbo,ConsumeItemLimit,BASE TABLE
